Звіт про пінг-моніторинг
========================
Хост: google.com | Доступний: true | Сер. час: 25,50 мс
Хост: 8.8.8.8 | Доступний: true | Сер. час: 14,75 мс
Хост: 8.8.4.4 | Доступний: true | Сер. час: 15,25 мс
Хост: 1.1.1.1 | Доступний: true | Сер. час: 14,75 мс
Хост: 1.0.0.1 | Доступний: true | Сер. час: 14,50 мс
Хост: ukr.net | Доступний: true | Сер. час: 19,00 мс
Хост: 192.168.0.1 | Доступний: true | Сер. час: 1,00 мс
Хост: 208.67.222.222 | Доступний: true | Сер. час: 28,75 мс
Хост: 9.9.9.9 | Доступний: true | Сер. час: 39,50 мс
